Player,Team,Goals,FirstName,Surname,WorksheetFound,TeamFromPlayersList
Sammie Szmodics,Blackburn Rovers,27,Sammie,Szmodics,MID,Blackburn
Adam Armstrong,Southampton,23,Adam,Armstrong,,
Crysencio Summerville,Leeds United,20,Crysencio,Summerville,FWD,Leeds
Morgan Whittaker,Plymouth Argyle,19,Morgan,Whittaker,FWD,Plymouth
Jamie Vardy,Leicester City,18,Jamie,Vardy,,
Haji Wright,Coventry City,17,Haji,Wright,FWD,Coventry
Emmanuel Latte Lath,Middlesbrough,16,Emmanuel,Lath,,
Josh Sargent,Norwich City,16,Josh,Sargent,FWD,Norwich
Che Adams,Southampton,15,Che,Adams,,
Jack Clarke,Sunderland,15,Jack,Clarke,FWD,Sunderland
Daniel James,Leeds United,14,Daniel,James,MID,Leeds
Joel Piroe,Leeds United,14,Joel,Piroe,FWD,Leeds
Nathan Broadhead,Ipswich Town,13,Nathan,Broadhead,,
Conor Chaplin,Ipswich Town,13,Conor,Chaplin,,
Will Keane,Preston North End,13,Will,Keane,FWD,Preston
Gabriel Sara,Norwich City,13,Gabriel,Sara,MID,Norwich
Kiernan Dewsbury-Hall,Leicester City,12,Kiernan,Dewsbury-Hall,,
Ryan Hardie,Plymouth Argyle,12,Ryan,Hardie,FWD,Plymouth
Stephy Mavididi,Leicester City,12,Stephy,Mavididi,,
Jon Rowe,Norwich City,12,Jon,Rowe,,
Ellis Simms,Coventry City,12,Ellis,Simms,FWD,Coventry
Jay Stansfield,Birmingham City,12,Jay,Stansfield,,
Jayden Philogene-Bidace,Hull City,11,Jayden,Philogene-Bidace,,
Brandon Thomas-Asante,West Bromwich Albion,11,Brandon,Thomas-Asante,FWD,West Brom
Tommy Conway,Bristol City,10,Tommy,Conway,FWD,Bristol City
Omari Giraud-Hutchinson,Ipswich Town,10,Omari,Giraud-Hutchinson,,
Mileta Rajovic,Watford,10,Mileta,Rajovic,FWD,Watford
Ozan Tufan,Hull City,10,Ozan,Tufan,,
Fabio Carvalho,Hull City,9,Fabio,Carvalho,,
Michal Helik,Huddersfield Town,9,Michal,Helik,DEF,Huddersfield
Jamal Lowe,Swansea City,9,Jamal,Lowe,FWD,Sheff Wed
