Player,Team,Goals,FirstName,Surname,WorksheetFound,TeamFromPlayersList
Macaulay Langstaff,Notts County,28,Macaulay,Langstaff,FWD,Millwall
Paul Mullin,Wrexham,24,Paul,Mullin,FWD,Wrexham
Matt Smith,Salford City,24,Matt,Smith,MID,Wigan
Danilo Orsi-Dadomo,Crawley Town,23,Danilo,Orsi-Dadomo,,
Davis Keillor-Dunn,Mansfield Town,22,Davis,Keillor-Dunn,MID,Mansfield
Will Evans,Newport County,21,Will,Evans,FWD,Newport Co
Joe Ironside,Doncaster Rovers,20,Joe,Ironside,FWD,Doncaster
Isaac Olaofe,Stockport County,20,Isaac,Olaofe,FWD,Stockport
Andy Cook,Bradford City,17,Andy,Cook,FWD,Bradford
Paddy Madden,Stockport County,17,Paddy,Madden,FWD,Chesterfield
Jack Nolan,Accrington Stanley,17,Jack,Nolan,MID,Gillingham
Max Dean,Milton Keynes Dons,16,Max,Dean,,
Elliott Lee,Wrexham,16,Elliott,Lee,,
Elliott Nevitt,Crewe Alexandra,16,Elliott,Nevitt,FWD,Gillingham
George Thomson,Harrogate Town,16,George,Thomson,MID,Harrogate
Jake Young,Swindon Town,16,Jake,Young,FWD,Bradford
Dan Crowley,Notts County,15,Dan,Crowley,,
Daniel Kemp,Swindon Town,14,Daniel,Kemp,MID,Stevenage
Ali Al-Hamadi,AFC Wimbledon,13,Ali,Al-Hamadi,,
Omar Bugiel,AFC Wimbledon,13,Omar,Bugiel,FWD,AFC Wimbledon
Alex Gilbey,Milton Keynes Dons,13,Alex,Gilbey,MID,MK Dons
Isaac Hutchinson,Walsall,13,Isaac,Hutchinson,MID,Bristol Rovers
Klaidi Lolos,Crawley Town,13,Klaidi,Lolos,FWD,Bolton
Michael Mellon,Morecambe,13,Michael,Mellon,FWD,Stockport
Danny Rose,Grimsby Town,13,Danny,Rose,FWD,Grimsby
Lucas Akins,Mansfield Town,12,Lucas,Akins,FWD,Mansfield
Robert Apter,Tranmere Rovers,12,Robert,Apter,,
Charlie Austin,Swindon Town,12,Charlie,Austin,FWD,Swindon
C. Jennings,Tranmere Rovers,12,C.,Jennings,,
David McGoldrick,Notts County,12,David,McGoldrick,FWD,Notts Co
George Maris,Mansfield Town,11,George,Maris,MID,Mansfield
H. Smith,Sutton United,11,H.,Smith,,
Joseph Taylor,Colchester United,11,Joseph,Taylor,FWD,Luton
Freddie Draper,Walsall,10,Freddie,Draper,FWD,Lincoln
Luke Molyneux,Doncaster Rovers,10,Luke,Molyneux,MID,Doncaster
Jack Muldoon,Harrogate Town,10,Jack,Muldoon,FWD,Harrogate
Hakeeb Adelakun,Doncaster Rovers,9,Hakeeb,Adelakun,MID,Lincoln
